S/N,Complaint,Category
1,Walking to school,Administrative
2,Electricity,Administrative
3,"Facility problem such as water, Electricity has been a greatest experience I have witnessed in kwasu",Administrative
4,Electricity,Administrative
5,The trekking from park to anywhere you're going in school is a very big concern recently. Makes students not want to go class and it might have an adverse effect on us,Administrative
6,Network and Electricity,Administrative
7,Registration,Administrative
8,Wrong result,Academic
9,Results,Academic
10,We are always facing a very bad network,Administrative
11,Hostel issue,Administrative
12,I lack adequate running water at my residence and light inconsistency,Administrative
13,Electricity,Administrative
14,Results should be recorded properly because a single mark can change a student from an A to a B. It's also unfair when a lecturer insists they will never give a student an A no matter how well the student performs on the exam.,Academic
15,For the past 3 weeks the university shuttle service between the main gate and the faculty blocks has been unreliable. Buses scheduled for 7:30am and 4:00pm frequently arrive 45-60 minutes late or don't show up at all.,Administrative
16,The electricity supply in the hostel/classrooms is not stable. Students find it difficult to read at night and charge their devices,Administrative
17,Set up for school scheduled activities is very terrible.,Academic
18,We once had more than 10 marks removed from our results for no genuine reason. I have experienced a lot in Malete. The electricity hasn't been stable since my 100L days and the hostels have no water.,Academic
19,One major concern is the poor network connectivity and unstable electricity supply negatively affecting students academic activities. Another issue is transportation - students are now mostly dropped at the main bus stop and forced to walk long distances to their faculties. There are also concerns about the inconsistent and sometimes unfair grading system by some lecturers.,Administrative
20,Water,Administrative
21,The electricity in KWASU definitely needs looking into. Students are not comfortable with the lack of electricity in the school community as well as the poor network in Malete.,Administrative
22,Lecturer result course,Academic
23,Electricity is bad in MALETE and network as well,Administrative
24,Where shuttle drops us is not really comfortable and it's annoying - walking to class sometimes under the sun is really unnecessary stress.,Administrative
25,The grievance I have experienced is with network issues. The management should try and provide more service provider masts so as to contain the use of internet. This made reading and making research uneasy for students.,Administrative
26,The school field and other sports centre is not good enough,Administrative
27,Unnecessary fees added even after paying the school fee,Administrative
28,Water and Electricity,Administrative
29,We the students of Kwara State University want shuttle drivers to drop us at each faculty,Administrative
30,Result and fees,Academic
31,Fees,Administrative
32,Letter of reconsideration on the new shuttle transition route/system restriction - the restriction forces students to trek long distances which decreases motivation to attend school increases health risks and does not account for ongoing school activities. Shuttle fares remain unchanged despite shortened routes which is unfair to students.,Administrative
33,Transport issue: having to trek from the school park to various locations in the school is a very tedious task.,Administrative
